Activity,Period Start,Period Length,Target Response Days,Average Days to Complete Activity,Total Completed Requests,Period
Alley Grading-Unimproved,12/10/2018,Week,180,1,8,12/10/2018 - 12/16/2018
Alley Grading-Unimproved,11/26/2018,Week,180,171.58,9,11/26/2018 - 12/02/2018
Alley Grading-Unimproved,11/19/2018,Week,180,7.83,4,11/19/2018 - 11/25/2018
Alley Grading-Unimproved,10/29/2018,Week,180,186.53,4,10/29/2018 - 11/04/2018
Alley Grading-Unimproved,10/22/2018,Week,180,146.95,3,10/22/2018 - 10/28/2018
Alley Grading-Unimproved,09/17/2018,Week,180,124.7,19,09/17/2018 - 09/23/2018
Alley Grading-Unimproved,09/10/2018,Week,180,142.35,2,09/10/2018 - 09/16/2018
Alley Grading-Unimproved,08/13/2018,Week,180,47.13,4,08/13/2018 - 08/19/2018
Alley Grading-Unimproved,08/06/2018,Week,180,30.44,2,08/06/2018 - 08/12/2018
Alley Grading-Unimproved,07/30/2018,Week,180,490.33,20,07/30/2018 - 08/05/2018
Alley Grading-Unimproved,07/23/2018,Week,180,361.5,5,07/23/2018 - 07/29/2018
Alley Grading-Unimproved,07/09/2018,Week,180,252.84,1,07/09/2018 - 07/15/2018
Alley Grading-Unimproved,06/11/2018,Week,180,356.57,4,06/11/2018 - 06/17/2018
Alley Grading-Unimproved,06/04/2018,Week,180,668.35,11,06/04/2018 - 06/10/2018
Alley Grading-Unimproved,05/14/2018,Week,180,418.88,1,05/14/2018 - 05/20/2018
Alley Grading-Unimproved,04/23/2018,Week,180,487.07,21,04/23/2018 - 04/29/2018
Alley Grading-Unimproved,04/16/2018,Week,180,516.68,30,04/16/2018 - 04/22/2018
Alley Grading-Unimproved,01/29/2018,Week,180,597.77,32,01/29/2018 - 02/04/2018
Alley Grading-Unimproved,01/15/2018,Week,180,561.67,59,01/15/2018 - 01/21/2018
Alley Grading-Unimproved,11/27/2017,Week,180,751.56,9,11/27/2017 - 12/03/2017
Alley Grading-Unimproved,11/20/2017,Week,180,557.5,16,11/20/2017 - 11/26/2017
Alley Grading-Unimproved,11/13/2017,Week,180,619.4,13,11/13/2017 - 11/19/2017
Alley Grading-Unimproved,11/06/2017,Week,180,338.48,10,11/06/2017 - 11/12/2017
Alley Grading-Unimproved,10/30/2017,Week,180,1,3,10/30/2017 - 11/05/2017
Alley Grading-Unimproved,09/25/2017,Week,180,1.83,5,09/25/2017 - 10/01/2017
Alley Grading-Unimproved,09/11/2017,Week,180,1467.08,7,09/11/2017 - 09/17/2017
Alley Grading-Unimproved,09/04/2017,Week,180,1535.22,6,09/04/2017 - 09/10/2017
Alley Grading-Unimproved,08/28/2017,Week,180,1071.8,44,08/28/2017 - 09/03/2017
Alley Grading-Unimproved,08/21/2017,Week,180,1,5,08/21/2017 - 08/27/2017
Alley Grading-Unimproved,08/14/2017,Week,180,556.56,5,08/14/2017 - 08/20/2017
Alley Grading-Unimproved,08/07/2017,Week,180,1189.55,9,08/07/2017 - 08/13/2017
Alley Grading-Unimproved,07/31/2017,Week,180,1305.83,29,07/31/2017 - 08/06/2017
Alley Grading-Unimproved,07/24/2017,Week,180,1417.31,8,07/24/2017 - 07/30/2017
Alley Grading-Unimproved,07/10/2017,Week,180,357.38,31,07/10/2017 - 07/16/2017
Alley Grading-Unimproved,06/19/2017,Week,180,487.06,7,06/19/2017 - 06/25/2017
Alley Grading-Unimproved,06/12/2017,Week,180,1055.2,11,06/12/2017 - 06/18/2017
Alley Grading-Unimproved,06/05/2017,Week,180,246.23,10,06/05/2017 - 06/11/2017
Alley Grading-Unimproved,05/29/2017,Week,180,1260.67,21,05/29/2017 - 06/04/2017
Alley Grading-Unimproved,05/22/2017,Week,180,1116.66,13,05/22/2017 - 05/28/2017
Alley Grading-Unimproved,05/15/2017,Week,180,1103.4,62,05/15/2017 - 05/21/2017
Alley Grading-Unimproved,05/08/2017,Week,180,1025.27,13,05/08/2017 - 05/14/2017
Alley Grading-Unimproved,05/01/2017,Week,180,997.96,8,05/01/2017 - 05/07/2017
Alley Grading-Unimproved,04/24/2017,Week,180,217.14,6,04/24/2017 - 04/30/2017
Alley Grading-Unimproved,03/27/2017,Week,180,115.08,11,03/27/2017 - 04/02/2017
Alley Grading-Unimproved,03/20/2017,Week,180,211.81,1,03/20/2017 - 03/26/2017
Alley Grading-Unimproved,03/13/2017,Week,180,247.56,16,03/13/2017 - 03/19/2017
Alley Grading-Unimproved,02/20/2017,Week,180,135.79,11,02/20/2017 - 02/26/2017
Alley Grading-Unimproved,01/30/2017,Week,180,53.05,2,01/30/2017 - 02/05/2017
Alley Grading-Unimproved,01/09/2017,Week,180,43.08,1,01/09/2017 - 01/15/2017
Alley Grading-Unimproved,12/19/2016,Week,180,1,1,12/19/2016 - 12/25/2016
Alley Grading-Unimproved,12/12/2016,Week,180,9.53,2,12/12/2016 - 12/18/2016
Alley Grading-Unimproved,11/28/2016,Week,180,8.9,1,11/28/2016 - 12/04/2016
Alley Grading-Unimproved,06/13/2016,Week,180,1079.02,1,06/13/2016 - 06/19/2016
Alley Grading-Unimproved,06/06/2016,Week,180,110.88,1,06/06/2016 - 06/12/2016
Alley Grading-Unimproved,05/23/2016,Week,180,435.22,11,05/23/2016 - 05/29/2016
Alley Grading-Unimproved,05/02/2016,Week,180,557.13,6,05/02/2016 - 05/08/2016
Alley Grading-Unimproved,04/04/2016,Week,180,1,1,04/04/2016 - 04/10/2016
Alley Grading-Unimproved,03/21/2016,Week,180,539.86,11,03/21/2016 - 03/27/2016
Alley Grading-Unimproved,03/14/2016,Week,180,24.52,2,03/14/2016 - 03/20/2016
Alley Grading-Unimproved,02/29/2016,Week,180,615.22,6,02/29/2016 - 03/06/2016
Alley Grading-Unimproved,02/08/2016,Week,180,445.98,6,02/08/2016 - 02/14/2016
Alley Grading-Unimproved,02/01/2016,Week,180,149.28,3,02/01/2016 - 02/07/2016
Alley Grading-Unimproved,01/25/2016,Week,180,25.02,2,01/25/2016 - 01/31/2016
Alley Grading-Unimproved,01/18/2016,Week,180,1,3,01/18/2016 - 01/24/2016
Alley Grading-Unimproved,01/04/2016,Week,180,359.55,3,01/04/2016 - 01/10/2016
Alley Grading-Unimproved,12/21/2015,Week,180,6.66,3,12/21/2015 - 12/27/2015
Alley Grading-Unimproved,12/07/2015,Week,180,1,1,12/07/2015 - 12/13/2015
Alley Grading-Unimproved,11/30/2015,Week,180,1,1,11/30/2015 - 12/06/2015
Alley Grading-Unimproved,11/23/2015,Week,180,110.96,2,11/23/2015 - 11/29/2015
Alley Grading-Unimproved,10/19/2015,Week,180,436.7,12,10/19/2015 - 10/25/2015
Alley Grading-Unimproved,10/12/2015,Week,180,21.92,1,10/12/2015 - 10/18/2015
Alley Grading-Unimproved,09/14/2015,Week,180,440.65,2,09/14/2015 - 09/20/2015
Alley Grading-Unimproved,08/03/2015,Week,180,1,1,08/03/2015 - 08/09/2015
Alley Grading-Unimproved,07/13/2015,Week,180,14.11,5,07/13/2015 - 07/19/2015
Alley Grading-Unimproved,07/06/2015,Week,180,1,1,07/06/2015 - 07/12/2015
Alley Grading-Unimproved,06/15/2015,Week,180,73.12,1,06/15/2015 - 06/21/2015
Alley Grading-Unimproved,06/08/2015,Week,180,328.99,1,06/08/2015 - 06/14/2015
Alley Grading-Unimproved,06/01/2015,Week,180,174.77,16,06/01/2015 - 06/07/2015
Alley Grading-Unimproved,05/25/2015,Week,180,456.82,16,05/25/2015 - 05/31/2015
Alley Grading-Unimproved,05/18/2015,Week,180,115.51,7,05/18/2015 - 05/24/2015
Alley Grading-Unimproved,05/04/2015,Week,180,7.87,1,05/04/2015 - 05/10/2015
Alley Grading-Unimproved,03/16/2015,Week,180,409.36,3,03/16/2015 - 03/22/2015
Alley Grading-Unimproved,01/12/2015,Week,180,120.1,2,01/12/2015 - 01/18/2015
Alley Grading-Unimproved,12/08/2014,Week,180,698.98,1,12/08/2014 - 12/14/2014
Alley Grading-Unimproved,11/24/2014,Week,180,124.08,3,11/24/2014 - 11/30/2014
Alley Grading-Unimproved,11/17/2014,Week,180,1,1,11/17/2014 - 11/23/2014
Alley Grading-Unimproved,11/10/2014,Week,180,539.93,3,11/10/2014 - 11/16/2014
Alley Grading-Unimproved,10/27/2014,Week,180,401.8,2,10/27/2014 - 11/02/2014
Alley Grading-Unimproved,10/20/2014,Week,180,6.1,1,10/20/2014 - 10/26/2014
Alley Grading-Unimproved,07/21/2014,Week,180,1,1,07/21/2014 - 07/27/2014
Alley Grading-Unimproved,06/23/2014,Week,180,4.82,1,06/23/2014 - 06/29/2014
Alley Grading-Unimproved,12/30/2013,Week,180,12.93,1,12/30/2013 - 01/05/2014
Alley Grading-Unimproved,12/09/2013,Week,180,1,1,12/09/2013 - 12/15/2013
Alley Grading-Unimproved,12/02/2013,Week,180,1,1,12/02/2013 - 12/08/2013
Alley Grading-Unimproved,11/25/2013,Week,180,1,2,11/25/2013 - 12/01/2013
Alley Grading-Unimproved,11/18/2013,Week,180,179.76,10,11/18/2013 - 11/24/2013
Alley Grading-Unimproved,11/11/2013,Week,180,6.02,1,11/11/2013 - 11/17/2013
Alley Grading-Unimproved,11/04/2013,Week,180,291.12,4,11/04/2013 - 11/10/2013
Alley Grading-Unimproved,10/28/2013,Week,180,227.09,13,10/28/2013 - 11/03/2013
Alley Grading-Unimproved,10/21/2013,Week,180,5.01,1,10/21/2013 - 10/27/2013
Alley Grading-Unimproved,10/07/2013,Week,180,447.83,6,10/07/2013 - 10/13/2013
Alley Grading-Unimproved,09/30/2013,Week,180,531.17,14,09/30/2013 - 10/06/2013
Alley Grading-Unimproved,09/23/2013,Week,180,627.98,13,09/23/2013 - 09/29/2013
Alley Grading-Unimproved,09/16/2013,Week,180,567.89,46,09/16/2013 - 09/22/2013
Alley Grading-Unimproved,08/19/2013,Week,180,1,1,08/19/2013 - 08/25/2013
Alley Grading-Unimproved,05/20/2013,Week,180,389.21,18,05/20/2013 - 05/26/2013
Alley Grading-Unimproved,05/13/2013,Week,180,374.03,39,05/13/2013 - 05/19/2013
Alley Grading-Unimproved,04/29/2013,Week,180,85.99,1,04/29/2013 - 05/05/2013
Alley Grading-Unimproved,03/25/2013,Week,180,652.84,1,03/25/2013 - 03/31/2013
Alley Grading-Unimproved,03/18/2013,Week,180,1,1,03/18/2013 - 03/24/2013
Alley Grading-Unimproved,02/25/2013,Week,180,308.26,3,02/25/2013 - 03/03/2013
Alley Grading-Unimproved,02/11/2013,Week,180,1,1,02/11/2013 - 02/17/2013
Alley Grading-Unimproved,01/14/2013,Week,180,398.86,13,01/14/2013 - 01/20/2013
Alley Grading-Unimproved,01/07/2013,Week,180,258.67,26,01/07/2013 - 01/13/2013
Alley Grading-Unimproved,12/24/2012,Week,180,302.16,28,12/24/2012 - 12/30/2012
Alley Grading-Unimproved,11/19/2012,Week,180,1,1,11/19/2012 - 11/25/2012
Alley Grading-Unimproved,10/01/2012,Week,180,348.19,8,10/01/2012 - 10/07/2012
Alley Grading-Unimproved,08/27/2012,Week,180,319.41,26,08/27/2012 - 09/02/2012
Alley Grading-Unimproved,07/30/2012,Week,180,339.96,12,07/30/2012 - 08/05/2012
Alley Grading-Unimproved,07/09/2012,Week,180,114.07,4,07/09/2012 - 07/15/2012
Alley Grading-Unimproved,01/02/2012,Week,180,1.17,1,01/02/2012 - 01/08/2012
Alley Grading-Unimproved,12/26/2011,Week,180,67.85,3,12/26/2011 - 01/01/2012
Alley Grading-Unimproved,11/07/2011,Week,180,36.96,1,11/07/2011 - 11/13/2011
Alley Grading-Unimproved,06/13/2011,Week,180,7,4,06/13/2011 - 06/19/2011
Alley Light Out,12/10/2018,Week,30,31.16,82,12/10/2018 - 12/16/2018
Alley Light Out,12/03/2018,Week,30,80.68,100,12/03/2018 - 12/09/2018
Alley Light Out,11/26/2018,Week,30,62.16,80,11/26/2018 - 12/02/2018
Alley Light Out,11/19/2018,Week,30,68.26,224,11/19/2018 - 11/25/2018
Alley Light Out,11/12/2018,Week,30,42.4,185,11/12/2018 - 11/18/2018
Alley Light Out,11/05/2018,Week,30,72.16,312,11/05/2018 - 11/11/2018
Alley Light Out,10/29/2018,Week,30,73.49,397,10/29/2018 - 11/04/2018
Alley Light Out,10/22/2018,Week,30,75.07,393,10/22/2018 - 10/28/2018
Alley Light Out,10/15/2018,Week,30,79.02,711,10/15/2018 - 10/21/2018
Alley Light Out,10/08/2018,Week,30,77.58,136,10/08/2018 - 10/14/2018
Alley Light Out,10/01/2018,Week,30,74.48,352,10/01/2018 - 10/07/2018
Alley Light Out,09/24/2018,Week,30,63.6,318,09/24/2018 - 09/30/2018
Alley Light Out,09/17/2018,Week,30,58.13,305,09/17/2018 - 09/23/2018
Alley Light Out,09/10/2018,Week,30,44.56,91,09/10/2018 - 09/16/2018
Alley Light Out,09/03/2018,Week,30,44.7,110,09/03/2018 - 09/09/2018
Alley Light Out,08/27/2018,Week,30,86.4,190,08/27/2018 - 09/02/2018
Alley Light Out,08/20/2018,Week,30,51.37,260,08/20/2018 - 08/26/2018
Alley Light Out,08/13/2018,Week,30,54.78,377,08/13/2018 - 08/19/2018
Alley Light Out,08/06/2018,Week,30,70.87,205,08/06/2018 - 08/12/2018
Alley Light Out,07/30/2018,Week,30,83.23,518,07/30/2018 - 08/05/2018
Alley Light Out,07/23/2018,Week,30,60.38,293,07/23/2018 - 07/29/2018
Alley Light Out,07/16/2018,Week,30,43.67,205,07/16/2018 - 07/22/2018
Alley Light Out,07/09/2018,Week,30,49.29,150,07/09/2018 - 07/15/2018
Alley Light Out,07/02/2018,Week,30,96.25,145,07/02/2018 - 07/08/2018
Alley Light Out,06/25/2018,Week,30,76.85,247,06/25/2018 - 07/01/2018
Alley Light Out,06/18/2018,Week,30,121.72,473,06/18/2018 - 06/24/2018
Alley Light Out,06/11/2018,Week,30,113.7,269,06/11/2018 - 06/17/2018
Alley Light Out,06/04/2018,Week,30,87.18,206,06/04/2018 - 06/10/2018
Alley Light Out,05/28/2018,Week,30,158.84,743,05/28/2018 - 06/03/2018
Alley Light Out,05/21/2018,Week,30,63.67,177,05/21/2018 - 05/27/2018
Alley Light Out,05/14/2018,Week,30,69.5,288,05/14/2018 - 05/20/2018
Alley Light Out,05/07/2018,Week,30,150.59,336,05/07/2018 - 05/13/2018
Alley Light Out,04/30/2018,Week,30,125.96,439,04/30/2018 - 05/06/2018
Alley Light Out,04/23/2018,Week,30,79.39,323,04/23/2018 - 04/29/2018
Alley Light Out,04/16/2018,Week,30,115.29,621,04/16/2018 - 04/22/2018
Alley Light Out,04/09/2018,Week,30,72.85,537,04/09/2018 - 04/15/2018
Alley Light Out,04/02/2018,Week,30,69.67,343,04/02/2018 - 04/08/2018
Alley Light Out,03/26/2018,Week,30,62.15,268,03/26/2018 - 04/01/2018
Alley Light Out,03/19/2018,Week,30,39.22,208,03/19/2018 - 03/25/2018
Alley Light Out,03/12/2018,Week,30,51.19,184,03/12/2018 - 03/18/2018
Alley Light Out,03/05/2018,Week,30,45.67,79,03/05/2018 - 03/11/2018
Alley Light Out,02/26/2018,Week,30,77.37,57,02/26/2018 - 03/04/2018
Alley Light Out,02/19/2018,Week,30,60.63,113,02/19/2018 - 02/25/2018
Alley Light Out,02/12/2018,Week,30,43.26,159,02/12/2018 - 02/18/2018
Alley Light Out,02/05/2018,Week,30,50.17,185,02/05/2018 - 02/11/2018
Alley Light Out,01/29/2018,Week,30,44.5,225,01/29/2018 - 02/04/2018
Alley Light Out,01/22/2018,Week,30,53.21,190,01/22/2018 - 01/28/2018
Alley Light Out,01/15/2018,Week,30,57.16,138,01/15/2018 - 01/21/2018
Alley Light Out,01/08/2018,Week,30,57.32,297,01/08/2018 - 01/14/2018
Alley Light Out,01/01/2018,Week,30,52.91,216,01/01/2018 - 01/07/2018
Alley Light Out,12/25/2017,Week,30,70.12,37,12/25/2017 - 12/31/2017
Alley Light Out,12/18/2017,Week,30,35.24,229,12/18/2017 - 12/24/2017
Alley Light Out,12/11/2017,Week,30,48.92,362,12/11/2017 - 12/17/2017
Alley Light Out,12/04/2017,Week,30,57.16,282,12/04/2017 - 12/10/2017
Alley Light Out,11/27/2017,Week,30,44.84,230,11/27/2017 - 12/03/2017
Alley Light Out,11/20/2017,Week,30,35.58,112,11/20/2017 - 11/26/2017
Alley Light Out,11/13/2017,Week,30,25.96,199,11/13/2017 - 11/19/2017
Alley Light Out,11/06/2017,Week,30,29.76,107,11/06/2017 - 11/12/2017
Alley Light Out,10/30/2017,Week,30,26.63,114,10/30/2017 - 11/05/2017
Alley Light Out,10/23/2017,Week,30,57.01,328,10/23/2017 - 10/29/2017
Alley Light Out,10/16/2017,Week,30,58.93,94,10/16/2017 - 10/22/2017
Alley Light Out,10/09/2017,Week,30,48.22,127,10/09/2017 - 10/15/2017
Alley Light Out,10/02/2017,Week,30,51.42,397,10/02/2017 - 10/08/2017
Alley Light Out,09/25/2017,Week,30,40.76,186,09/25/2017 - 10/01/2017
Alley Light Out,09/18/2017,Week,30,60.32,244,09/18/2017 - 09/24/2017
Alley Light Out,09/11/2017,Week,30,50.63,522,09/11/2017 - 09/17/2017
Alley Light Out,09/04/2017,Week,30,88.03,110,09/04/2017 - 09/10/2017
Alley Light Out,08/28/2017,Week,30,51.95,261,08/28/2017 - 09/03/2017
Alley Light Out,08/21/2017,Week,30,58.63,234,08/21/2017 - 08/27/2017
Alley Light Out,08/14/2017,Week,30,89.28,238,08/14/2017 - 08/20/2017
Alley Light Out,08/07/2017,Week,30,48.26,270,08/07/2017 - 08/13/2017
Alley Light Out,07/31/2017,Week,30,49.43,519,07/31/2017 - 08/06/2017
Alley Light Out,07/24/2017,Week,30,66.73,299,07/24/2017 - 07/30/2017
Alley Light Out,07/17/2017,Week,30,25.43,239,07/17/2017 - 07/23/2017
Alley Light Out,07/10/2017,Week,30,56.26,414,07/10/2017 - 07/16/2017
Alley Light Out,07/03/2017,Week,30,70.58,134,07/03/2017 - 07/09/2017
Alley Light Out,06/26/2017,Week,30,65.07,544,06/26/2017 - 07/02/2017
Alley Light Out,06/19/2017,Week,30,66.02,644,06/19/2017 - 06/25/2017
Alley Light Out,06/12/2017,Week,30,53.61,242,06/12/2017 - 06/18/2017
Alley Light Out,06/05/2017,Week,30,106.69,681,06/05/2017 - 06/11/2017
Alley Light Out,05/29/2017,Week,30,42.85,170,05/29/2017 - 06/04/2017
Alley Light Out,05/22/2017,Week,30,44.05,178,05/22/2017 - 05/28/2017
Alley Light Out,05/15/2017,Week,30,30.53,159,05/15/2017 - 05/21/2017
Alley Light Out,05/08/2017,Week,30,39.1,272,05/08/2017 - 05/14/2017
Alley Light Out,05/01/2017,Week,30,40.59,266,05/01/2017 - 05/07/2017
Alley Light Out,04/24/2017,Week,30,38.08,262,04/24/2017 - 04/30/2017
Alley Light Out,04/17/2017,Week,30,133.92,568,04/17/2017 - 04/23/2017
Alley Light Out,04/10/2017,Week,30,175.94,351,04/10/2017 - 04/16/2017
Alley Light Out,04/03/2017,Week,30,75.38,259,04/03/2017 - 04/09/2017
Alley Light Out,03/27/2017,Week,30,137,689,03/27/2017 - 04/02/2017
Alley Light Out,03/20/2017,Week,30,84.07,438,03/20/2017 - 03/26/2017
Alley Light Out,03/13/2017,Week,30,78.06,569,03/13/2017 - 03/19/2017
Alley Light Out,03/06/2017,Week,30,115.82,324,03/06/2017 - 03/12/2017
Alley Light Out,02/27/2017,Week,30,125.79,170,02/27/2017 - 03/05/2017
Alley Light Out,02/20/2017,Week,30,69.17,138,02/20/2017 - 02/26/2017
Alley Light Out,02/13/2017,Week,30,85.43,263,02/13/2017 - 02/19/2017
Alley Light Out,02/06/2017,Week,30,66.68,356,02/06/2017 - 02/12/2017
Alley Light Out,01/30/2017,Week,30,76,497,01/30/2017 - 02/05/2017
Alley Light Out,01/23/2017,Week,30,90.95,402,01/23/2017 - 01/29/2017
Alley Light Out,01/16/2017,Week,30,73.48,146,01/16/2017 - 01/22/2017
Alley Light Out,01/09/2017,Week,30,48.58,122,01/09/2017 - 01/15/2017
Alley Light Out,01/02/2017,Week,30,57.36,75,01/02/2017 - 01/08/2017
Alley Light Out,12/26/2016,Week,30,58.57,62,12/26/2016 - 01/01/2017
Alley Light Out,12/19/2016,Week,30,40.25,209,12/19/2016 - 12/25/2016
Alley Light Out,12/12/2016,Week,30,53.05,294,12/12/2016 - 12/18/2016
Alley Light Out,12/05/2016,Week,30,59.53,254,12/05/2016 - 12/11/2016
Alley Light Out,11/28/2016,Week,30,77.97,470,11/28/2016 - 12/04/2016
Alley Light Out,11/21/2016,Week,30,48.85,168,11/21/2016 - 11/27/2016
Alley Light Out,11/14/2016,Week,30,54.68,415,11/14/2016 - 11/20/2016
Alley Light Out,11/07/2016,Week,30,81.07,603,11/07/2016 - 11/13/2016
Alley Light Out,10/31/2016,Week,30,61.84,248,10/31/2016 - 11/06/2016
Alley Light Out,10/24/2016,Week,30,42.27,345,10/24/2016 - 10/30/2016
Alley Light Out,10/17/2016,Week,30,20.65,224,10/17/2016 - 10/23/2016
Alley Light Out,10/10/2016,Week,30,59.81,279,10/10/2016 - 10/16/2016
Alley Light Out,10/03/2016,Week,30,50.14,285,10/03/2016 - 10/09/2016
Alley Light Out,09/26/2016,Week,30,44.22,372,09/26/2016 - 10/02/2016
Alley Light Out,09/19/2016,Week,30,61.22,607,09/19/2016 - 09/25/2016
Alley Light Out,09/12/2016,Week,30,54.75,670,09/12/2016 - 09/18/2016
Alley Light Out,09/05/2016,Week,30,66.13,320,09/05/2016 - 09/11/2016
Alley Light Out,08/29/2016,Week,30,46.33,285,08/29/2016 - 09/04/2016
Alley Light Out,08/22/2016,Week,30,40.9,318,08/22/2016 - 08/28/2016
Alley Light Out,08/15/2016,Week,30,34.75,205,08/15/2016 - 08/21/2016
Alley Light Out,08/08/2016,Week,30,30.5,216,08/08/2016 - 08/14/2016
Alley Light Out,08/01/2016,Week,30,35.03,102,08/01/2016 - 08/07/2016
Alley Light Out,07/25/2016,Week,30,38.12,61,07/25/2016 - 07/31/2016
Alley Light Out,07/18/2016,Week,30,35.05,184,07/18/2016 - 07/24/2016
Alley Light Out,07/11/2016,Week,30,43.64,79,07/11/2016 - 07/17/2016
Alley Light Out,07/04/2016,Week,30,61.23,179,07/04/2016 - 07/10/2016
Alley Light Out,06/27/2016,Week,30,52.56,162,06/27/2016 - 07/03/2016
Alley Light Out,06/20/2016,Week,30,40.95,226,06/20/2016 - 06/26/2016
Alley Light Out,06/13/2016,Week,30,57.85,408,06/13/2016 - 06/19/2016
Alley Light Out,06/06/2016,Week,30,47.49,251,06/06/2016 - 06/12/2016
Alley Light Out,05/30/2016,Week,30,39.14,89,05/30/2016 - 06/05/2016
Alley Light Out,05/23/2016,Week,30,38.55,249,05/23/2016 - 05/29/2016
Alley Light Out,05/16/2016,Week,30,42.73,314,05/16/2016 - 05/22/2016
Alley Light Out,05/09/2016,Week,30,51.85,263,05/09/2016 - 05/15/2016
Alley Light Out,05/02/2016,Week,30,19.5,252,05/02/2016 - 05/08/2016
Alley Light Out,04/25/2016,Week,30,20.55,146,04/25/2016 - 05/01/2016
Alley Light Out,04/18/2016,Week,30,18.44,235,04/18/2016 - 04/24/2016
Alley Light Out,04/11/2016,Week,30,36.55,264,04/11/2016 - 04/17/2016
Alley Light Out,04/04/2016,Week,30,46.59,444,04/04/2016 - 04/10/2016
Alley Light Out,03/28/2016,Week,30,70.55,853,03/28/2016 - 04/03/2016
Alley Light Out,03/21/2016,Week,30,40.14,283,03/21/2016 - 03/27/2016
Alley Light Out,03/14/2016,Week,30,35.9,187,03/14/2016 - 03/20/2016
Alley Light Out,03/07/2016,Week,30,44.54,259,03/07/2016 - 03/13/2016
Alley Light Out,02/29/2016,Week,30,45.87,292,02/29/2016 - 03/06/2016
Alley Light Out,02/22/2016,Week,30,56.62,328,02/22/2016 - 02/28/2016
Alley Light Out,02/15/2016,Week,30,56.21,450,02/15/2016 - 02/21/2016
Alley Light Out,02/08/2016,Week,30,40.61,268,02/08/2016 - 02/14/2016
Alley Light Out,02/01/2016,Week,30,46.89,378,02/01/2016 - 02/07/2016
Alley Light Out,01/25/2016,Week,30,37.97,280,01/25/2016 - 01/31/2016
Alley Light Out,01/18/2016,Week,30,22.39,136,01/18/2016 - 01/24/2016
Alley Light Out,01/11/2016,Week,30,27.72,381,01/11/2016 - 01/17/2016
Alley Light Out,01/04/2016,Week,30,42.84,435,01/04/2016 - 01/10/2016
Alley Light Out,12/28/2015,Week,30,58.8,158,12/28/2015 - 01/03/2016
Alley Light Out,12/21/2015,Week,30,52.06,150,12/21/2015 - 12/27/2015
Alley Light Out,12/14/2015,Week,30,37.61,447,12/14/2015 - 12/20/2015
Alley Light Out,12/07/2015,Week,30,43.32,201,12/07/2015 - 12/13/2015
Alley Light Out,11/30/2015,Week,30,17.52,407,11/30/2015 - 12/06/2015
Alley Light Out,11/23/2015,Week,30,18.41,69,11/23/2015 - 11/29/2015
Alley Light Out,11/16/2015,Week,30,23.63,268,11/16/2015 - 11/22/2015
Alley Light Out,11/09/2015,Week,30,30.25,373,11/09/2015 - 11/15/2015
Alley Light Out,11/02/2015,Week,30,20.58,405,11/02/2015 - 11/08/2015
Alley Light Out,10/26/2015,Week,30,21.11,488,10/26/2015 - 11/01/2015
Alley Light Out,10/19/2015,Week,30,13.53,431,10/19/2015 - 10/25/2015
Alley Light Out,10/12/2015,Week,30,30.52,327,10/12/2015 - 10/18/2015
Alley Light Out,10/05/2015,Week,30,37.82,126,10/05/2015 - 10/11/2015
Alley Light Out,09/28/2015,Week,30,40.96,862,09/28/2015 - 10/04/2015
Alley Light Out,09/21/2015,Week,30,22.92,378,09/21/2015 - 09/27/2015
Alley Light Out,09/14/2015,Week,30,32.04,372,09/14/2015 - 09/20/2015
Alley Light Out,09/07/2015,Week,30,28.3,178,09/07/2015 - 09/13/2015
Alley Light Out,08/31/2015,Week,30,37.85,943,08/31/2015 - 09/06/2015
Alley Light Out,08/24/2015,Week,30,24.39,326,08/24/2015 - 08/30/2015
Alley Light Out,08/17/2015,Week,30,47.78,204,08/17/2015 - 08/23/2015
Alley Light Out,08/10/2015,Week,30,18.42,184,08/10/2015 - 08/16/2015
Alley Light Out,08/03/2015,Week,30,25.01,86,08/03/2015 - 08/09/2015
Alley Light Out,07/27/2015,Week,30,40.67,179,07/27/2015 - 08/02/2015
Alley Light Out,07/20/2015,Week,30,23.52,187,07/20/2015 - 07/26/2015
Alley Light Out,07/13/2015,Week,30,13.62,159,07/13/2015 - 07/19/2015
Alley Light Out,07/06/2015,Week,30,9.87,111,07/06/2015 - 07/12/2015
Alley Light Out,06/29/2015,Week,30,13.22,146,06/29/2015 - 07/05/2015
Alley Light Out,06/22/2015,Week,30,30.54,450,06/22/2015 - 06/28/2015
Alley Light Out,06/15/2015,Week,30,7.85,112,06/15/2015 - 06/21/2015
Alley Light Out,06/08/2015,Week,30,13.25,118,06/08/2015 - 06/14/2015
Alley Light Out,06/01/2015,Week,30,23.81,377,06/01/2015 - 06/07/2015
Alley Light Out,05/25/2015,Week,30,5.1,59,05/25/2015 - 05/31/2015
Alley Light Out,05/18/2015,Week,30,5.15,162,05/18/2015 - 05/24/2015
Alley Light Out,05/11/2015,Week,30,33.29,506,05/11/2015 - 05/17/2015
Alley Light Out,05/04/2015,Week,30,21.26,372,05/04/2015 - 05/10/2015
Alley Light Out,04/27/2015,Week,30,17.52,323,04/27/2015 - 05/03/2015
Alley Light Out,04/20/2015,Week,30,5.23,114,04/20/2015 - 04/26/2015
Alley Light Out,04/13/2015,Week,30,25.68,459,04/13/2015 - 04/19/2015
Alley Light Out,04/06/2015,Week,30,8.14,112,04/06/2015 - 04/12/2015
Alley Light Out,03/30/2015,Week,30,11.78,155,03/30/2015 - 04/05/2015
